line,Pija,Pijb,Pijc,Qija,Qijb,Qijc,status
"('area_88', 'area_93')",0.0,0.0,206.23,0.0,0.0,116.89,1.0
"('area_88', 'area_94')",201.05,0.0,0.0,113.93,0.0,0.0,1.0
"('area_88', 'area_95')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_88', 'area_96')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_88', 'area_97')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_88', 'area_98')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_88', 'area_99')",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('area_1', 'area_31')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_57')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_61')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_88')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_52')",0.0,0.0,55.940000000000005,0.0,0.0,14.03,1.0
"('area_1', 'area_40')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('area_1', 'area_25')",0.0,0.0,0.0,0.0,0.0,0.0,0.0
